"Domaine","Table","Attribut","Type"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","article_non_prevu_a_la_commande","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","commentaire","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","consommation_stock_sous_traitant","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","cours_extra_alliage","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","cout_unitaire_de_frais_reduction","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","cout_frais_reduction_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","cout_extra_alliage_devise_document","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","cout_extra_alliage_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","date_creation_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","date_de_derniere_relance","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","date_fin_validite","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","date_modification_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","designation","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","equivalent_a","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","etat_d_expedition","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","etat_de_facturation","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","etat_de_reception","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","frais_fixe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","frais_fixe_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","heure_de_la_livraison","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","identifiant_edi","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","ligne","integer"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","ligne_soldee","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","marge_sur_besoin","integer"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","marge_sur_date_souhaitee","integer"
